STATISTIC,Statistic Label,TLIST(M1),Month,C02596V03150,Industry Sector NACE Rev 2,UNIT,VALUE
WPM40C01,Domestic Industrial Price Index (Excl VAT),202101,2021 January,10,Food products (10),Base 2021=100,99.04693461
WPM40C01,Domestic Industrial Price Index (Excl VAT),202101,2021 January,13,Textiles (13),Base 2021=100,98.44185925
WPM40C01,Domestic Industrial Price Index (Excl VAT),202101,2021 January,14,Wearing apparel (14),Base 2021=100,99.77152321
WPM40C01,Domestic Industrial Price Index (Excl VAT),202101,2021 January,16,"Wood and wood products, except furniture (16)",Base 2021=100,94.3044976
WPM40C01,Domestic Industrial Price Index (Excl VAT),202101,2021 January,17,Paper and paper products (17),Base 2021=100,99.03718867
WPM40C01,Domestic Industrial Price Index (Excl VAT),202101,2021 January,20,Chemicals and chemical products (20),Base 2021=100,92.43424718
WPM40C01,Domestic Industrial Price Index (Excl VAT),202101,2021 January,22,Rubber and plastic products (22),Base 2021=100,98.65077385
WPM40C01,Domestic Industrial Price Index (Excl VAT),202101,2021 January,23,Other non-metallic mineral products (23),Base 2021=100,97.44339365
WPM40C01,Domestic Industrial Price Index (Excl VAT),202101,2021 January,24,Basic metals (24),Base 2021=100,86.62810348
WPM40C01,Domestic Industrial Price Index (Excl VAT),202101,2021 January,25,"Fabricated metal products, except machinery and equipment (25)",Base 2021=100,89.1222729
WPM40C01,Domestic Industrial Price Index (Excl VAT),202101,2021 January,27,Electrical equipment (27),Base 2021=100,98.61445874
WPM40C01,Domestic Industrial Price Index (Excl VAT),202101,2021 January,29,"Motor vehicles, trailers and semi-trailers (29)",Base 2021=100,99.6323566
WPM40C01,Domestic Industrial Price Index (Excl VAT),202101,2021 January,31,Furniture (31),Base 2021=100,99.73772773
WPM40C01,Domestic Industrial Price Index (Excl VAT),202101,2021 January,V0800,Mining and quarrying (05 to 09),Base 2021=100,99.54998611
WPM40C01,Domestic Industrial Price Index (Excl VAT),202102,2021 February,10,Food products (10),Base 2021=100,99.26772457
WPM40C01,Domestic Industrial Price Index (Excl VAT),202102,2021 February,13,Textiles (13),Base 2021=100,98.44185925
WPM40C01,Domestic Industrial Price Index (Excl VAT),202102,2021 February,14,Wearing apparel (14),Base 2021=100,99.77152321
WPM40C01,Domestic Industrial Price Index (Excl VAT),202102,2021 February,16,"Wood and wood products, except furniture (16)",Base 2021=100,94.33969073
WPM40C01,Domestic Industrial Price Index (Excl VAT),202102,2021 February,17,Paper and paper products (17),Base 2021=100,99.38006732
WPM40C01,Domestic Industrial Price Index (Excl VAT),202102,2021 February,20,Chemicals and chemical products (20),Base 2021=100,92.45576199
WPM40C01,Domestic Industrial Price Index (Excl VAT),202102,2021 February,22,Rubber and plastic products (22),Base 2021=100,99.09518459
WPM40C01,Domestic Industrial Price Index (Excl VAT),202102,2021 February,23,Other non-metallic mineral products (23),Base 2021=100,97.58944434
WPM40C01,Domestic Industrial Price Index (Excl VAT),202102,2021 February,24,Basic metals (24),Base 2021=100,87.50675588
WPM40C01,Domestic Industrial Price Index (Excl VAT),202102,2021 February,25,"Fabricated metal products, except machinery and equipment (25)",Base 2021=100,99.11012549
WPM40C01,Domestic Industrial Price Index (Excl VAT),202102,2021 February,27,Electrical equipment (27),Base 2021=100,98.78746555
WPM40C01,Domestic Industrial Price Index (Excl VAT),202102,2021 February,29,"Motor vehicles, trailers and semi-trailers (29)",Base 2021=100,99.6323566
WPM40C01,Domestic Industrial Price Index (Excl VAT),202102,2021 February,31,Furniture (31),Base 2021=100,100.205984
WPM40C01,Domestic Industrial Price Index (Excl VAT),202102,2021 February,V0800,Mining and quarrying (05 to 09),Base 2021=100,99.55198286
WPM40C01,Domestic Industrial Price Index (Excl VAT),202103,2021 March,10,Food products (10),Base 2021=100,99.5259559
WPM40C01,Domestic Industrial Price Index (Excl VAT),202103,2021 March,13,Textiles (13),Base 2021=100,98.44185925
WPM40C01,Domestic Industrial Price Index (Excl VAT),202103,2021 March,14,Wearing apparel (14),Base 2021=100,99.77152321
WPM40C01,Domestic Industrial Price Index (Excl VAT),202103,2021 March,16,"Wood and wood products, except furniture (16)",Base 2021=100,94.3803978
WPM40C01,Domestic Industrial Price Index (Excl VAT),202103,2021 March,17,Paper and paper products (17),Base 2021=100,98.67935307
WPM40C01,Domestic Industrial Price Index (Excl VAT),202103,2021 March,20,Chemicals and chemical products (20),Base 2021=100,97.0245024
WPM40C01,Domestic Industrial Price Index (Excl VAT),202103,2021 March,22,Rubber and plastic products (22),Base 2021=100,99.16218946
WPM40C01,Domestic Industrial Price Index (Excl VAT),202103,2021 March,23,Other non-metallic mineral products (23),Base 2021=100,97.83076503
WPM40C01,Domestic Industrial Price Index (Excl VAT),202103,2021 March,24,Basic metals (24),Base 2021=100,90.65264322
WPM40C01,Domestic Industrial Price Index (Excl VAT),202103,2021 March,25,"Fabricated metal products, except machinery and equipment (25)",Base 2021=100,99.1370113
WPM40C01,Domestic Industrial Price Index (Excl VAT),202103,2021 March,27,Electrical equipment (27),Base 2021=100,98.78746555
WPM40C01,Domestic Industrial Price Index (Excl VAT),202103,2021 March,29,"Motor vehicles, trailers and semi-trailers (29)",Base 2021=100,99.6323566
WPM40C01,Domestic Industrial Price Index (Excl VAT),202103,2021 March,31,Furniture (31),Base 2021=100,97.94593311
WPM40C01,Domestic Industrial Price Index (Excl VAT),202103,2021 March,V0800,Mining and quarrying (05 to 09),Base 2021=100,99.55430372
WPM40C01,Domestic Industrial Price Index (Excl VAT),202104,2021 April,10,Food products (10),Base 2021=100,99.36319098
WPM40C01,Domestic Industrial Price Index (Excl VAT),202104,2021 April,13,Textiles (13),Base 2021=100,98.44185925
WPM40C01,Domestic Industrial Price Index (Excl VAT),202104,2021 April,14,Wearing apparel (14),Base 2021=100,99.77152321
WPM40C01,Domestic Industrial Price Index (Excl VAT),202104,2021 April,16,"Wood and wood products, except furniture (16)",Base 2021=100,97.00833775
WPM40C01,Domestic Industrial Price Index (Excl VAT),202104,2021 April,17,Paper and paper products (17),Base 2021=100,98.73204412
WPM40C01,Domestic Industrial Price Index (Excl VAT),202104,2021 April,20,Chemicals and chemical products (20),Base 2021=100,97.0245024
WPM40C01,Domestic Industrial Price Index (Excl VAT),202104,2021 April,22,Rubber and plastic products (22),Base 2021=100,99.22910686
WPM40C01,Domestic Industrial Price Index (Excl VAT),202104,2021 April,23,Other non-metallic mineral products (23),Base 2021=100,98.38271203
WPM40C01,Domestic Industrial Price Index (Excl VAT),202104,2021 April,24,Basic metals (24),Base 2021=100,92.46898627
WPM40C01,Domestic Industrial Price Index (Excl VAT),202104,2021 April,25,"Fabricated metal products, except machinery and equipment (25)",Base 2021=100,99.46843009
WPM40C01,Domestic Industrial Price Index (Excl VAT),202104,2021 April,27,Electrical equipment (27),Base 2021=100,98.78746555
WPM40C01,Domestic Industrial Price Index (Excl VAT),202104,2021 April,29,"Motor vehicles, trailers and semi-trailers (29)",Base 2021=100,99.6323566
WPM40C01,Domestic Industrial Price Index (Excl VAT),202104,2021 April,31,Furniture (31),Base 2021=100,97.94602192
WPM40C01,Domestic Industrial Price Index (Excl VAT),202104,2021 April,V0800,Mining and quarrying (05 to 09),Base 2021=100,99.85073292
WPM40C01,Domestic Industrial Price Index (Excl VAT),202105,2021 May,10,Food products (10),Base 2021=100,99.50133426
WPM40C01,Domestic Industrial Price Index (Excl VAT),202105,2021 May,13,Textiles (13),Base 2021=100,98.44185925
WPM40C01,Domestic Industrial Price Index (Excl VAT),202105,2021 May,14,Wearing apparel (14),Base 2021=100,100.1616687
WPM40C01,Domestic Industrial Price Index (Excl VAT),202105,2021 May,16,"Wood and wood products, except furniture (16)",Base 2021=100,98.69223467
WPM40C01,Domestic Industrial Price Index (Excl VAT),202105,2021 May,17,Paper and paper products (17),Base 2021=100,99.63876642
WPM40C01,Domestic Industrial Price Index (Excl VAT),202105,2021 May,20,Chemicals and chemical products (20),Base 2021=100,97.02466439
WPM40C01,Domestic Industrial Price Index (Excl VAT),202105,2021 May,22,Rubber and plastic products (22),Base 2021=100,99.65981295
WPM40C01,Domestic Industrial Price Index (Excl VAT),202105,2021 May,23,Other non-metallic mineral products (23),Base 2021=100,98.33943494
WPM40C01,Domestic Industrial Price Index (Excl VAT),202105,2021 May,24,Basic metals (24),Base 2021=100,95.34179451
WPM40C01,Domestic Industrial Price Index (Excl VAT),202105,2021 May,25,"Fabricated metal products, except machinery and equipment (25)",Base 2021=100,99.54179483
WPM40C01,Domestic Industrial Price Index (Excl VAT),202105,2021 May,27,Electrical equipment (27),Base 2021=100,98.78746555
WPM40C01,Domestic Industrial Price Index (Excl VAT),202105,2021 May,29,"Motor vehicles, trailers and semi-trailers (29)",Base 2021=100,99.6323566
WPM40C01,Domestic Industrial Price Index (Excl VAT),202105,2021 May,31,Furniture (31),Base 2021=100,97.94602192
WPM40C01,Domestic Industrial Price Index (Excl VAT),202105,2021 May,V0800,Mining and quarrying (05 to 09),Base 2021=100,99.85087074
WPM40C01,Domestic Industrial Price Index (Excl VAT),202106,2021 June,10,Food products (10),Base 2021=100,99.55921048
WPM40C01,Domestic Industrial Price Index (Excl VAT),202106,2021 June,13,Textiles (13),Base 2021=100,100.8394077
WPM40C01,Domestic Industrial Price Index (Excl VAT),202106,2021 June,14,Wearing apparel (14),Base 2021=100,100.1616687
WPM40C01,Domestic Industrial Price Index (Excl VAT),202106,2021 June,16,"Wood and wood products, except furniture (16)",Base 2021=100,98.93606185
WPM40C01,Domestic Industrial Price Index (Excl VAT),202106,2021 June,17,Paper and paper products (17),Base 2021=100,99.46726894
WPM40C01,Domestic Industrial Price Index (Excl VAT),202106,2021 June,20,Chemicals and chemical products (20),Base 2021=100,97.02489935
WPM40C01,Domestic Industrial Price Index (Excl VAT),202106,2021 June,22,Rubber and plastic products (22),Base 2021=100,99.98754365
WPM40C01,Domestic Industrial Price Index (Excl VAT),202106,2021 June,23,Other non-metallic mineral products (23),Base 2021=100,98.33112297
WPM40C01,Domestic Industrial Price Index (Excl VAT),202106,2021 June,24,Basic metals (24),Base 2021=100,99.48803002
WPM40C01,Domestic Industrial Price Index (Excl VAT),202106,2021 June,25,"Fabricated metal products, except machinery and equipment (25)",Base 2021=100,100.5513075
WPM40C01,Domestic Industrial Price Index (Excl VAT),202106,2021 June,27,Electrical equipment (27),Base 2021=100,98.78746555
WPM40C01,Domestic Industrial Price Index (Excl VAT),202106,2021 June,29,"Motor vehicles, trailers and semi-trailers (29)",Base 2021=100,99.6323566
WPM40C01,Domestic Industrial Price Index (Excl VAT),202106,2021 June,31,Furniture (31),Base 2021=100,97.94602192
WPM40C01,Domestic Industrial Price Index (Excl VAT),202106,2021 June,V0800,Mining and quarrying (05 to 09),Base 2021=100,99.85055898
WPM40C01,Domestic Industrial Price Index (Excl VAT),202107,2021 July,10,Food products (10),Base 2021=100,100.3497574
